name,price,chipset,memory,core_clock,boost_clock,color,length
Gigabyte AERO OC,694.99,GeForce RTX 5070,12,2160,2625,Black,324
Gigabyte EAGLE OC ICE,329.99,GeForce RTX 5060,8,2280,,White,208
EVGA FTW3 ULTRA GAMING,899.99,GeForce RTX 3080 10GB,10,1440,1800,Black,300
XFX Speedster QICK 319 BLACK,569,Radeon RX 7700 XT,12,1700,2599,Black,335
Gigabyte GAMING OC,439.99,GeForce RTX 4060,8,1830,,Black,281
PNY VCG508016TFXPB1,1349.99,GeForce RTX 5080,16,2300,2620,Black,329
PowerColor Red Devil OC,819.99,Radeon RX 9070 XT,16,2460,3060,Black / Red,340
Gigabyte GAMING,349.99,Radeon RX 9060 XT,16,2220,,Black,281
MSI GeForce RTX 3060 Ti GAMING X,,GeForce RTX 3060 Ti,8,1410,1770,Black / Silver,278
MSI SHADOW 3X OC,599.44,GeForce RTX 5070,12,2160,2557,Black,303
Gigabyte AORUS MASTER ICE,1629.99,GeForce RTX 5080,16,2300,,White / Silver,360
Palit Infinity 3,923,GeForce RTX 5070,12,2325,2512,Black,292
Sapphire NITRO+,,Radeon RX 7800 XT,16,1295,,Black,320
ASRock Phantom Gaming D OC,159.99,Radeon RX 6500 XT,4,2365,2820,Black,240
MSI SUPRIM LIQUID SOC,3229,GeForce RTX 5090,32,2010,,Black / Silver,280
PowerColor Reaper,669.99,Radeon RX 9070,16,2070,2520,Black,289
Asus TUF GAMING OC,1798.99,GeForce RTX 4080 SUPER,16,2210,2640,Black,348
Asus ROG STRIX GAMING OC,,GeForce RTX 5070 Ti,16,2300,2625,Black / Silver,332
Asus ROG STRIX GAMING OC,3185,GeForce RTX 4090,24,2235,2640,Black,358
NVIDIA Founders Edition,949.99,GeForce RTX 3080 Ti,12,1370,1670,Silver / Black,285
MSI VENTUS 2X OC,319.99,GeForce RTX 5060,8,2280,2535,Silver / Black,197
Gigabyte WINDFORCE OC SFF,1399.99,GeForce RTX 5080,16,2300,,Black,304
PNY OC,1349.99,GeForce RTX 5080,16,2300,2730,Black,329
Gigabyte WINDFORCE OC,2639.99,GeForce RTX 5090,32,2010,2467,Black,342
Sapphire PULSE,429,Radeon RX 6700 XT,12,2321,2581,Black,260
NVIDIA Founders Edition,,GeForce RTX 3070,8,1500,1730,Black,242
NVIDIA Founders Edition,899,GeForce RTX 4070,12,1920,2480,Black / Silver,244
Sapphire PULSE,337.33,Radeon RX 7600,8,1720,2755,Black / Red,240
Sapphire NITRO+,,Radeon RX 7900 XTX,24,2300,2680,Silver / Black,320
MSI VENTUS 2X OC,629.99,GeForce RTX 5070,12,2160,2557,White,236
Sparkle TITAN OC,319.99,Arc B580,12,2670,2740,Blue / White,317
Zotac GAMING SOLID OC,609.99,GeForce RTX 5070,12,2160,2542,Black / Copper,304
Gigabyte AERO OC,649,GeForce RTX 5060 Ti,16,2410,2647,White / Silver,281
Asus DUAL OC,299.99,GeForce RTX 5060,8,2280,2565,Black,228
Gigabyte EAGLE OC,599,GeForce RTX 5060 Ti,16,2410,2617,White / Silver,215
Asus DUAL EVO OC,775.87,GeForce RTX 4060 Ti,16,2310,2625,Black,227
Sparkle GUARDIAN OC,259.99,Arc B570,10,2500,2660,Blue / White,242
Zotac GAMING SOLID OC,2599.98,GeForce RTX 5090,32,2010,2422,Black / Copper,330
Asus DUAL OC,699,Radeon RX 7800 XT,16,1295,2520,Black,280
Asus PRIME,1264.99,GeForce RTX 5080,16,2300,,Black / White,306
NVIDIA Founders Edition,1849.99,GeForce RTX 4080,16,2210,2510,Black / Silver,304
AMD Radeon RX 6950 XT,,Radeon RX 6950 XT,16,1890,2310,Black,267
Sapphire PULSE,762.12,Radeon RX 7800 XT,16,1295,,Black / Red,280
Sapphire NITRO+,649.99,Radeon RX 9070,16,2210,2700,Black,331
Zotac GAMING SOLID,3495.23,GeForce RTX 5090,32,2010,2407,Black / Copper,330
XFX Swift OC,319.99,Radeon RX 9060 XT,8,2220,3320,White,270
EVGA KO ULTRA GAMING,320,GeForce RTX 2060,6,1365,1755,Black,202
Gigabyte AORUS MASTER,1629.99,GeForce RTX 5080,16,2300,,Black,360
XFX Mercury OC RGB,869.98,Radeon RX 9070 XT,16,1870,3100,Black,360
XFX Swift OC,299.99,Radeon RX 9060 XT,8,2220,3320,Black,270
Gainward Phoenix-S,,GeForce RTX 5070 Ti,16,2300,2452,Black,332
XFX Speedster SWFT 210 Core,331.42,Radeon RX 6650 XT,8,2055,2635,Black / Silver,241
PNY ARGB EPIC-X RGB OC,1256.39,GeForce RTX 5070 Ti,16,2295,2640,Black,300
Zotac GAMING SOLO,299.99,GeForce RTX 5060,8,2280,2497,Black,164
Asus PRIME,612.98,Radeon RX 9070 XT,16,2460,2990,Black,312
Intel Limited Edition,249,Arc A750,8,2050,,Black,250
MSI GAMING TRIO OC,549.99,GeForce RTX 5060 Ti,16,2410,2662,Black,300
PNY VCQGV100-PB,,Quadro GV100,32,1200,1447,Black / Gold,267
NVIDIA Founders Edition,,GeForce RTX 3080 10GB,10,1440,1710,Black,285
XFX Speedster SWFT 210 Core,289.99,Radeon RX 7600,8,1875,2655,Black,241
Zotac GAMING AMP Extreme INFINITY,1460.14,GeForce RTX 5080,16,2300,2670,Black / Copper,332
Gigabyte GAMING OC,572.12,GeForce RTX 3070,8,1500,1815,Black / Silver,286
Gigabyte OC Low Profile,339.99,GeForce RTX 5060,8,2280,,Black,182
MSI VENTUS 3X OC,1409.99,GeForce RTX 5080,16,2300,2655,White,303
PowerColor Hellhound Spectral,839.99,Radeon RX 9070 XT,16,2400,3010,White,327
Asus PRIME OC,529.99,GeForce RTX 5060 Ti,16,2410,2647,Black,304
MSI VENTUS 2X OC,629.99,GeForce RTX 5070,12,2160,2557,Silver / Black,236
Asus ROG Astral OC,,GeForce RTX 5090,32,2010,2610,White,358
PNY EPIC-X RGB OC,2799.99,GeForce RTX 5090,32,2010,2625,Black,329
Gigabyte EAGLE,535,Radeon RX 6600,8,1626,2491,Black / Silver,282
MSI VENTUS 2X BLACK OC,479.99,GeForce RTX 4060 Ti,16,2310,2625,Black,199
Asus TUF GAMING OC,267.3,GeForce GTX 1660 SUPER,6,1530,1845,Black,206
Gigabyte WINDFORCE V2,1548.99,GeForce RTX 4080 SUPER,16,2210,2550,Black,330
MSI VENTUS 2X OC,933.74,GeForce RTX 4070 SUPER,12,1980,2520,Black,242
MSI SUPRIM SOC,3199.99,GeForce RTX 5090,32,2010,,Black / Silver,359
NVIDIA Founders Edition,,GeForce RTX 4070 SUPER,12,1980,2480,Black / Silver,244
ASRock Challenger OC,279.97,Radeon RX 7600,8,1720,2695,Black,269
Zotac GAMING AMP Extreme INFINITY,899.99,GeForce RTX 5070 Ti,16,2300,2512,Black,332
Asus TUF GAMING OC,1099.99,GeForce RTX 4070 Ti,12,2310,2760,Black,305
Gigabyte WINDFORCE OC Rev 2.0,324.97,GeForce RTX 3060 12GB,12,1320,1792,Black,198
Gigabyte WINDFORCE,379.99,GeForce RTX 5060 Ti,8,2410,2572,Black,208
NVIDIA Founders Edition,,GeForce GTX 1080 Ti,11,1480,1582,Black / Silver,267
XFX Speedster SWFT 210 Core,649,Radeon RX 7800 XT,16,1295,2430,Black,283
EVGA FTW3 ULTRA GAMING,765,GeForce RTX 3070 Ti,8,1575,1860,Black,300
PowerColor Hellhound,1174.08,Radeon RX 7900 XTX,24,2300,2525,Black,320
EVGA FTW3 ULTRA GAMING,1518.99,GeForce RTX 3090,24,1395,1800,Black,300
XFX Quicksilver,799.99,Radeon RX 9070 XT,16,1660,2970,White,360
ASRock Challenger OC,269.98,Arc B580,12,2670,2740,Black,249
Asus TUF GAMING OC,599.99,GeForce RTX 5060 Ti,16,2410,2692,Black / Silver,302
MSI VANGUARD SOC,859.99,GeForce RTX 5070 Ti,16,2300,2602,Black / Silver,357
Sapphire PULSE,468,Radeon RX 7600 XT,16,1720,2810,Black / Red,250
XFX Mercury OC RGB,839.99,Radeon RX 9070 XT,16,1870,3100,White,360
Asus DUAL OC,399.99,GeForce RTX 4060,8,1830,2535,White,227
MSI VANGUARD SOC,649.99,GeForce RTX 5070,12,2160,,Black,337
Gigabyte GAMING OC,619.99,GeForce RTX 5070,12,2160,2625,Black,327
Sapphire 21323-01-20G,,Radeon RX 7900 XT,20,2000,2400,Black,276
Zotac Twin Edge,642.11,GeForce RTX 5060 Ti,16,2410,2572,Black,220
Asus DUAL EVO OC,949.97,GeForce RTX 4070,12,1920,2550,Black,227
Asus ROG STRIX GAMING OC,3539.99,GeForce RTX 4090,24,2235,2640,White,358
MSI INSPIRE 3X OC PLUS,1010,GeForce RTX 5070 Ti,16,2300,2497,Gold / Black,288
ASRock Intel Arc A380 Challenger ITX,139.99,Arc A380,6,2250,,Black,190
XFX Swift OC,399.99,Radeon RX 9060 XT,16,2220,3320,Black,290
ONIX LUMI OC,285.98,Arc B580,12,2670,2740,White / Silver,260
XFX RX-79GMERCB9,669.99,Radeon RX 7900 GRE,16,1270,2395,Black,335
Asus TUF GAMING OC,2940.55,GeForce RTX 5090,32,2010,,Black / Silver,348
MSI GeForce RTX 3080 VENTUS 3X 10G OC,879.99,GeForce RTX 3080 10GB,10,1440,,Black,305
MSI GT 710 2GD3H LP,71.62,GeForce GT 710,2,954,954,Black,146
Gigabyte GAMING OC,595,Radeon RX 5700 XT,8,1650,1905,Black,280
Asus TUF GAMING OC,1009.99,GeForce RTX 5070 Ti,16,2300,2610,White / Silver,329
Palit GamingPro,,GeForce RTX 5070 Ti,16,2300,2452,Black,332
MSI GeForce RTX 2070 SUPER VENTUS GP OC,689,GeForce RTX 2070 SUPER,8,1605,1785,Silver / Black,258
XFX Swift OC,719.99,Radeon RX 9070,16,1440,2700,White,325
MSI GTX 1050 Ti 4GT OC,263.99,GeForce GTX 1050 Ti,4,1341,1455,Black / White,215
MSI VENTUS 3X OC,1299.99,GeForce RTX 5080,16,2300,2655,Silver / Black,303
Sapphire PURE,540.66,Radeon RX 9060 XT,16,2220,3290,Black,240
Gigabyte EAGLE OC ICE SFF,1149,GeForce RTX 5070 Ti,16,2541,,White / Silver,304
MSI GeForce RTX 3070 VENTUS 3X OC,534.19,GeForce RTX 3070,8,1500,1755,Black / Silver,305
MSI GeForce GTX 1650 SUPER,419,GeForce GTX 1650 SUPER,4,1530,1740,Black / Silver,180
Sapphire PURE,896.64,Radeon RX 9070,16,2210,2700,White,320
NVIDIA Founders Edition,,GeForce RTX 4080 SUPER,16,2210,2550,Black,304
Asus TUF GAMING OC,479.99,Radeon RX 9060 XT,16,2220,,Black / Silver,304
MSI GAMING X,575,GeForce RTX 2060 SUPER,8,1470,1695,Black / Silver,248
