name,price,capacity,price_per_gb,type,cache,form_factor,interface,image
MSI SPATIUM M480 PRO,109.67,1000,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Patriot P300,14.99,128,0.117,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://m.media-amazon.com/images/I/411-9QPiZXL.jpg
TEAMGROUP MP33,103.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
KIOXIA EXCERIA PLUS G3,83.78,1000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Silicon Power P34A60,36.97,512,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Crucial T700,379.99,4000,0.095,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Silicon Power A60,95.97,2000,0.048,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Seagate BarraCuda,67.0,2000,0.034,7200,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
Samsung 990 Pro w/Heatsink,109.99,1000,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Kingston A400,57.99,960,0.06,SSD,,2.5,SATA 6.0 Gb/s,
Samsung 970 Evo Plus,69.79,250,0.279,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Western Digital Blue SN580,44.99,500,0.09,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Corsair MP600 PRO XT,909.99,8000,0.114,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial P5 Plus,159.99,1000,0.16,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Patriot P400 Lite,104.99,2000,0.052,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Red Plus,99.99,4000,0.025,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Crucial MX500,149.99,1000,0.15,SSD,1024.0,2.5,SATA 6.0 Gb/s,
Corsair MP700 PRO,219.99,2000,0.11,SSD,,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial T700,219.99,2000,0.11,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
MSI SPATIUM M482,109.99,2000,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
PNY CS1030,91.99,2000,0.046,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Western Digital WD_BLACK SN8100,169.99,1000,0.17,SSD,1024.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
TEAMGROUP T-FORCE G70 PRO Graphene,122.99,2000,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
PNY CS2150,169.99,2000,0.085,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
KIOXIA EXCERIA PLUS G3,146.31,2000,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Western Digital Red Plus,179.99,10000,0.018,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Samsung 850 Evo,,250,,SSD,,2.5,SATA 6.0 Gb/s,
Seagate Exos X24 SED,571.59,24000,0.024,7200,512.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1cda827f4bfb60657c3e98eaf1e1b6c5.256p.jpg
Gigabyte AORUS Gen4 7300,91.99,1000,0.092,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,
Seagate Barracuda Compute,124.99,8000,0.016,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
TEAMGROUP QX,182.99,4000,0.046,SSD,,2.5,SATA 6.0 Gb/s,
Samsung 860 Evo,109.0,500,0.218,SSD,512.0,2.5,SATA 6.0 Gb/s,
Acer Predator GM7000,77.98,1000,0.078,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4,
Corsair MP400,,8000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Seagate Surveillance HDD,99.0,2000,0.05,5400,64.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41NM4bGD2XL.jpg
Crucial P3,44.06,500,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Intel DC P3608,,4000,,SSD,,PCIe,PCIe x8,https://m.media-amazon.com/images/I/41nvp6nw6CL.jpg
Seagate IronWolf Pro,150.0,4000,0.037,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Silicon Power A55,84.99,2000,0.042,SSD,,2.5,SATA 6.0 Gb/s,
Kingston NV2,118.77,2000,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
PNY CS2150,89.99,1000,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Corsair MP700 Elite,134.99,1000,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
FanXiang S880,59.99,1000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Mushkin Gamma,1068.14,8000,0.134,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Intel D3-S4610,1485.0,7680,0.193,SSD,,2.5,SATA 6.0 Gb/s,
Crucial BX500,228.99,4000,0.057,SSD,,2.5,SATA 6.0 Gb/s,
Seagate IronWolf Pro NAS,249.99,12000,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Kingston NV3,238.98,4000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Patriot P210,29.79,512,0.058,SSD,,2.5,SATA 6.0 Gb/s,
Samsung 9100 PRO w/Heatsink,249.99,2000,0.125,SSD,2048.0,M.2-2280,M.2 PCIe 5.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
MSI SPATIUM M450,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Kingston FURY Renegade G5,458.46,4096,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Toshiba HDKBB96,29.95,1000,0.03,5400,8.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/fb19ec155b9d619a4912c8265ab74c3c.256p.jpg
PNY CS900,49.99,1000,0.05,SSD,,2.5,SATA 6.0 Gb/s,
Kingston Fury Renegade,309.95,4000,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital Blue,141.47,1000,0.141,SSD,,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg
MSI SPATIUM M470 PRO,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
Crucial T705 W/Heatsink,369.99,4000,0.092,SSD,,M.2-2280,M.2 PCIe 5.0 X4,
Western Digital Red Plus,158.85,8000,0.02,5640,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
Western Digital Blue,72.99,4000,0.018,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg
Crucial T500,300.0,4000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital WD_BLACK SN7100,239.99,4000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
KingSpec XG7000,97.99,2000,0.049,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Crucial CT1000E100SSD8,71.5,1000,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Crucial P3,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Lexar NM620,140.55,2000,0.07,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Samsung 970 Evo,106.13,500,0.212,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4,
Western Digital Blue SN570,122.79,1000,0.123,SSD,,M.2-2280,M.2 PCIe 3.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Crucial P5 Plus,228.8,2000,0.114,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/5e351462f0fbe31fcee07125319c287c.256p.jpg
ADATA Legend 800,,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital WD_Black SN850X w/Heatsink,639.99,8000,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Kingston NV2,45.77,500,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital WD Green SN3000,119.99,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Western Digital Caviar Blue,29.99,500,0.06,7200,16.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
TEAMGROUP MP33,23.99,256,0.094,SSD,,M.2-2280,M.2 PCIe 3.0 X4,
Seagate IronWolf Pro NAS,419.99,20000,0.021,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/e352117b6f8a568f0bed5452b16d922e.256p.jpg
