name,price,socket,form_factor,max_memory,memory_slots,color,image
Gigabyte B550M DS3H AC,99.99,AM4,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/61e134589d40c606cd6ac71cd3603434.256p.jpg
Gigabyte B650M GAMING WIFI6E,177.17,AM5,Micro ATX,128,2,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/7486bd0a06a2794a9f33b9104c25ca57.256p.jpg
MSI PRO B760-P WIFI DDR4,159.95,LGA1700,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/28e8ce6b41464b892862574420f45b63.256p.jpg
Gigabyte B650 EAGLE,212.19,AM5,ATX,192,4,Black / Gray,https://m.media-amazon.com/images/I/51BdjazabVL.jpg
MSI X870 GAMING PLUS WIFI,249.99,AM5,ATX,256,4,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/d12159191629629d3c107e4bbe7607c1.256p.jpg
Asus TUF GAMING B760-PLUS WIFI,159.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/bc0dae2e2b9ee30cfad6a2b8da8d8da3.256p.jpg
ASRock Z790 PRO RS WIFI,229.68,LGA1700,ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/0a9cc0cdde3a83295545ae04856c18ee.256p.jpg
Gigabyte A520M S2H,72.98,AM4,Micro ATX,64,2,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d3a0054902d36d38a60d09d83698d7c8.256p.jpg
Asus TUF GAMING X570-PLUS (WI-FI),,AM4,ATX,128,4,Black / Gold,https://cdna.pcpartpicker.com/static/forever/images/product/8d7d0435e8a2af93b5d91a1a5dccd476.256p.jpg
Asus Prime B450M-A II,140.0,AM4,Micro ATX,128,4,,https://cdna.pcpartpicker.com/static/forever/images/product/dbeb8cc8ade3dfcbfed111e7b3b4d00f.256p.jpg
Gigabyte B850I AORUS PRO,259.99,AM5,Mini ITX,128,2,,https://cdna.pcpartpicker.com/static/forever/images/product/eaf7d7e4417a44ec7b73e8da2a29142b.256p.jpg
Gigabyte A520M DS3H V2,101.9,AM4,Micro ATX,128,4,Gray / Brown,https://cdna.pcpartpicker.com/static/forever/images/product/0090b895d648338f39bc35ccaa60ca67.256p.jpg
MSI B550 GAMING GEN3,124.58,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/cbc52effd345bd5e9d66b5f7d198f8b4.256p.jpg
MSI MAG B850M MORTAR WIFI,239.99,AM5,Micro ATX,256,4,Black / Green,https://cdna.pcpartpicker.com/static/forever/images/product/5299771c95c4e8b3d5f41cd252b1cd0b.256p.jpg
Gigabyte B550 AORUS ELITE AX V2,149.99,AM4,ATX,128,4,Black / Silver,https://m.media-amazon.com/images/I/51Hz3u7PR0L.jpg
ASRock B850 Steel Legend WiFi,209.99,AM5,ATX,256,4,White / Black,https://cdna.pcpartpicker.com/static/forever/images/product/30f5f3b9f60b1167239fee968998ce39.256p.jpg
MSI MPG B650I EDGE WIFI,289.99,AM5,Mini ITX,128,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/67b21f33b930179c2c462faa514ae6f3.256p.jpg
MSI MAG Z790 TOMAHAWK WIFI,189.99,LGA1700,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/4776555bd90ed817bdfa00fc78ae3043.256p.jpg
MSI B450 TOMAHAWK MAX,,AM4,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/0a8a0ca77620c63b68fec6323537d50a.256p.jpg
Gigabyte B550I AORUS PRO AX,189.99,AM4,Mini ITX,64,2,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/46324a9aac9a2c2e7b705b32a4632fba.256p.jpg
