name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,image
Corsair Vengeance RGB 16 GB,67.98,"5,5200","2,8",4.249,Black / Gray,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/9c711c2e20ef4adac880e44fe9fc13fe.256p.jpg
Crucial CT2K8G48C40U5 16 GB,41.99,"5,4800","2,8",2.624,Black,16.667,40,https://cdna.pcpartpicker.com/static/forever/images/product/da4cecff7e3ebe77a577561a19a2d1c7.256p.jpg
G.Skill Trident Z5 Neo 64 GB,204.99,"5,6000","2,32",3.203,Black / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/ddee8f048d2850b577c6e3c3f03a023b.256p.jpg
Silicon Power XPOWER Pulse Gaming 32 GB,79.97,"5,6000","2,16",2.499,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB 32 GB,147.99,"5,6000","2,16",4.625,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Silicon Power SP016GLLTU160N22 16 GB,16.95,"3,1600","2,8",1.059,Green,13.75,11,https://cdna.pcpartpicker.com/static/forever/images/product/03862fe576104a6e89282ca9a5bc8148.256p.jpg
PNY XLR8 Gaming RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Trident Z5 RGB 32 GB,139.99,"5,7200","2,16",4.375,Black,9.444,34,https://cdna.pcpartpicker.com/static/forever/images/product/5468241c2bc267e0ebc4ed037b0d02b6.256p.jpg
Kingston FURY Beast 8 GB,29.89,"4,3200","1,8",3.736,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/76fe94a04b2e6ea4e02b506e537d02b5.256p.jpg
G.Skill Trident Z5 Neo RGB 64 GB,,"5,6000","2,32",,Black,8.667,26,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
Corsair Vengeance 32 GB,96.99,"5,5200","2,16",3.031,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
