name,price,chipset,memory,core_clock,boost_clock,color,length,image
ASRock Steel Legend OC,519.0,Radeon RX 9060 XT,16,2220,3320.0,White / Gray,298,https://cdna.pcpartpicker.com/static/forever/images/product/1a235541a242ee9e62115ee9f4e43a7d.256p.jpg
Gigabyte GAMING OC,249.99,Radeon RX 9060 XT,8,2220,,Black,281,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Asus DUAL EVO OC,274.99,Radeon RX 7600,8,1720,2715.0,Black,229,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg
Gigabyte WINDFORCE OC,820.0,GeForce RTX 4070,12,1920,2490.0,Black,261,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Gigabyte GAMING OC,,Radeon RX 7800 XT,16,1295,2565.0,Black,302,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Gigabyte GAMING OC,969.99,GeForce RTX 5070 Ti,16,2588,,Black,340,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
XFX Swift,799.99,Radeon RX 9070 XT,16,1660,2970.0,White,325,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
MSI GAMING TRIO OC,3049.99,GeForce RTX 5090,32,2010,,Black / Silver,359,https://cdna.pcpartpicker.com/static/forever/images/product/370365e652c3b14625e18aedae953a7b.256p.jpg
PowerColor Hellhound OC,859.99,Radeon RX 9070 XT,16,2400,3010.0,Black,327,https://cdna.pcpartpicker.com/static/forever/images/product/7b81884d452c572f52509f613a1d328f.256p.jpg
NVIDIA Founders Edition,2995.99,GeForce RTX 4090,24,2230,2520.0,Black / Silver,304,https://cdna.pcpartpicker.com/static/forever/images/product/47f0dc00854d366a83eb4a669b988969.256p.jpg
PNY VERTO OC,759.99,GeForce RTX 4070 SUPER,12,1980,2490.0,Black,247,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
ASRock Challenger OC,399.97,Radeon RX 7700 XT,12,1700,2584.0,Black,266,https://cdna.pcpartpicker.com/static/forever/images/product/67f500a12c85e2179f6cbad6cc4838cb.256p.jpg
